Name	Latitude	Longitude	Category	Checkins
NYC Taxi 8K30	40.7701167605	-73.8806095514	None	24
Delta Shuttle Control Center	40.7721760502	-73.8846864541	Airport Terminal	36
Delta Baggage Services	40.6407797079	-73.7864498204	Baggage Claim	238
Delta Check-In	40.7736774814	-73.8844969661	Airport Service	566
Taxi 6p99	40.770081	-73.880327	Moving Target	6
Taxi 6a96	40.7694841408	-73.8813445486	Moving Target	4
Vaughn College of Aeronautics & Technology Bookstore	40.7681439273	-73.8819474739	College Quad	2353
Port Authority Of NY/NJ Precinct	40.7718564954	-73.8852262066	Police Station	23
Gate SH 6	40.7738170064	-73.8838710803	None	20
Delta Shuttle Ticket Counter	40.7737477644	-73.8840548268	General Travel	33
Gate 1	40.7734935657	-73.8847036802	Airport Gate	771
Gate 6	40.7737885907	-73.8838251437	Airport Gate	573
Gate 2	40.7734406272	-73.8841724396	Airport Gate	529
Marine Air Terminal Power Charge Stations	40.7737615181	-73.8837447545	Airport Terminal	8
Delta Flight DL 2727	40.773718	-73.884193	Moving Target	1
Vaughn College of Aeronautics and Technology	40.7684143885	-73.8805693562	General College & University	838
Taxi 2H70	40.7698110732	-73.8827915662	None	15
as flight 1151	40.7723731995	-73.8783111572	Moving Target	1
Inflight WiFi	40.7688580238	-73.8828891821	Internet Cafe	22
American Express Delta Power Stop	40.773698736	-73.8840548268	Airport Gate	60
The Parking Spot - LaGuardia	40.7682420386	-73.8798860359	General Travel	810
NYC Taxi 6V76	40.769411	-73.878792	None	5
Vaughn College	40.7684216722	-73.8802305674	College Academic Building	11
Delta Shuttle Break Room	40.7735962632	-73.8839801798	Monument / Landmark	443
Vaughn College Residence Hall	40.7683016469	-73.8804085752	Residential Building (Apartment / Condo)	209
IMAN Manner	40.7693160494	-73.8783528632	Bed & Breakfast	13
Vaughn College Hanger	40.7682083988	-73.8814593917	College Engineering Building	31
Delta - Touch the Future of Travel	40.7737239652	-73.8846864541	Airport Lounge	30
Vaughn College Tower	40.768032	-73.881906	College Communications Building	25
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359068
Southwest Cargo LGA	40.7723997336	-73.8785768105	Airport Terminal	70
Delta Baggage Services	40.6407797079	-73.7864498204	Baggage Claim	238
National Car Rental	40.7701987032	-73.875144124	Rental Car Location	2667
American Baggage Service	40.7738387252	-73.8747754136	Baggage Claim	628
LGA Tarmac	40.7790465887	-73.8743019104	Airport Service	465
Q77 Bus 106	40.7703387737	-73.8761150837	None	3
MTA Bus - M60/Q70 LTD/Q72 - LGA Internal Roadway/Parking Lot #1	40.772782118	-73.8759468489	Bus Line	82
Air Canada Cargo	40.7722840816	-73.8755621135	Airport Terminal	106
M is for Music	40.7708263813	-73.8785666227	Music Venue	1
LGA RW Crew Room	40.7732228949	-73.8765038524	Coworking Space	35
LB Pee Break	40.7718969735	-73.8761995105	Moving Target	11
Gate D3	40.7753743311	-73.8747310638	Airport Gate	1395
Terminal D American Airlines	40.7722314652	-73.8813388064	Airport Terminal	40
NYC Taxi 9T90	40.772067	-73.876547	None	22
Kohort HQ	40.7719886437	-73.8802133409	Tech Startup	13
Courtyard New York LaGuardia Airport	40.769448	-73.880238	Hotel	3583
Anonymous Black Towncar	40.7720746114	-73.8761995105	General Travel	45
Red Mango	40.7702658828	-73.8764923678	Ice Cream Shop	4
Taxi Stand	40.7740743683	-73.8730144501	Taxi Stand	192
southwest airlines	40.773330057	-73.8760731797	Airport Terminal	79
Port Authority Police (LGA)	40.7718002858	-73.8759985297	Police Station	189
Dentista	40.7716680632	-73.8767852248	Dentist's Office	2
as flight 1151	40.7723731995	-73.8783111572	Moving Target	1
MTA bus Q33 @ Laguardia Airport (LGA)	40.7721419891	-73.8768483899	Bus Line	21
95th Street & Ditmars Boulevard - Hotdog Stand	40.7703287082	-73.8759970665	Hot Dog Joint	14
Cristo's food doctor	40.7703514099	-73.8757019043	Food Truck	40
Young Chess Player Research	40.7731616359	-73.8763775219	Toy / Game Store	6
Silvercup Studios	40.7726891219	-73.8754587517	Performing Arts Venue	6
TSA Lost & Found	40.7730010044	-73.8764579141	Office	28
West Jet	40.771823713	-73.8757458678	Airport Gate	455
NYC Taxi 6L60	40.7718944958	-73.8799664266	None	2
Rahinas	40.7701793721	-73.8754932056	Brazilian Restaurant	7
Muddy Waters Cafe	40.7711418259	-73.8795357615	None	20
LGA - A & R Cafeteria (Employee Cafeteria)	40.7738912855	-73.8751199541	Airport Food Court	158
The Landing - Valet Parking for LaGuardia International Airport	40.7696055521	-73.8759219646	Parking	4
2E14	40.7697238843	-73.8769517511	None	4
American Operations	40.7731984608	-73.87481561	Office	27
NYC Taxi 9T55	40.77266	-73.87679	Moving Target	10
NYC Taxicab 6M38	40.7731636974	-73.8763258412	None	5
shmittys	40.7715339661	-73.8751678467	Plaza	12
Maguis Sosa Designs LLC	40.7735167431	-73.8777499268	Furniture / Home Store	2
Super Shuttle	40.7730672939	-73.8761937682	General Travel	31
Afaze	40.7699343175	-73.8760616951	Accessories Store	12
IMAN Manner	40.7693160494	-73.8783528632	Bed & Breakfast	13
NYC Taxi 6V76	40.769411	-73.878792	None	5
Route A Shuttle Bus	40.7730986287	-73.875912395	Bus Line	53
ABG North East Area Office	40.771019511	-73.8781518846	Office	59
La Guardia Airport Chappel	40.772693	-73.874968	Church	7
Aileron	40.7695832255	-73.8800927549	Hotel Bar	38
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359068
National Car Rental	40.7701987032	-73.875144124	Rental Car Location	2667
Taxi 1A67	40.7713884234	-73.8738566359	Moving Target	11
Delta Baggage Services	40.6407797079	-73.7864498204	Baggage Claim	238
Air Canada Cargo	40.7722840816	-73.8755621135	Airport Terminal	106
Baggage Claim	40.7711818598	-73.8659763336	Baggage Claim	124
Bodegas Murua	40.7716043689	-73.874130249	Vineyard	7
shmittys	40.7715339661	-73.8751678467	Plaza	12
East Elmhurst, NY	40.7612683753	-73.8652253151	Neighborhood	4278
La Guardia Airport Chappel	40.772693	-73.874968	Church	7
Port Authority Police (LGA)	40.7718002858	-73.8759985297	Police Station	189
M60 to 125th St	40.7708801939	-73.8732020041	Moving Target	15
American Operations	40.7731984608	-73.87481561	Office	27
Q77 Bus 106	40.7703387737	-73.8761150837	None	3
Alamo Rent A Car	40.770202969	-73.8751337975	Rental Car Location	70
Anonymous Black Towncar	40.7720746114	-73.8761995105	General Travel	45
LB Pee Break	40.7718969735	-73.8761995105	Moving Target	11
Gate B7	40.7761542966	-73.8708686829	Airport Gate	2116
